Startdatum,Enddatum,Veranstaltung,Zyklus,Typ,Planungshinweis
2027-01-21,2027-01-24,Praticien en Hypnose OMNI - Block 1,I,Kurs,Start der Frühjahrskohorte
2027-01-29,2027-01-31,Praticien en Hypnose OMNI - Block 2,I,Kurs,Abschluss der sieben Präsenztage
2027-02-12,2027-02-14,Techniques avancées,I,Kurs,
2027-02-27,2027-02-28,Entretien Orienté Solution,I,Kurs,Zweitägiger Kurs am Samstag und Sonntag
2027-03-12,2027-03-14,Troubles Anxieux & Hypnose,I,Kurs,
2027-04-02,2027-04-04,Hypnose médicale,I,Kurs,Dreitägiger Aprilblock
2027-04-10,2027-04-11,Enfants & Hypnose,I,Kurs,Zweitägiger Kurs am Samstag und Sonntag
2027-04-17,2027-04-18,Addictions & Hypnose,I,Kurs,Zweitägiger Kurs am Samstag und Sonntag
2027-04-26,2027-04-29,Hypnose médicale,I,Kurs,Viertägiger Aprilblock
2027-05-28,2027-05-29,Sport & Hypnose,I,Kurs,Zweitägiger Kurs
2027-06-19,2027-06-20,Maladies & Hypnose,I,Kurs,Zweitägiger Kurs
2027-06-23,2027-06-23,Kursfrei,-,Sperrtermin,Keinen Kurs einplanen
,,Maître Praticien I,I,Planung offen,15 Ausbildungstage in Juni und Juli; Blockstruktur noch festlegen
2027-07-22,2027-07-22,Kursfrei,-,Sperrtermin,Keinen Kurs einplanen
2027-07-26,2027-08-15,Sommerpause,-,Pause,Mindestens drei Wochen von Ende Juli bis Mitte August
2027-08-26,2027-08-29,Praticien en Hypnose OMNI - Block 1,II,Kurs,Start der Herbstkohorte
2027-09-03,2027-09-05,Praticien en Hypnose OMNI - Block 2,II,Kurs,Abschluss der sieben Präsenztage
2027-09-17,2027-09-19,Techniques avancées,II,Kurs,
2027-10-02,2027-10-03,Entretien Orienté Solution,II,Kurs,Zweitägiger Kurs am Samstag und Sonntag
2027-10-15,2027-10-17,Troubles Anxieux & Hypnose,II,Kurs,
2027-11-06,2027-11-07,Addictions & Hypnose,II,Kurs,Zweitägiger Kurs am Samstag und Sonntag
2027-11-13,2027-11-14,Enfants & Hypnose,II,Kurs,Zweitägiger Kurs am Samstag und Sonntag
2027-11-19,2027-11-20,Maladies & Hypnose,II,Kurs,Zweitägiger Kurs
2027-11-26,2027-11-28,Kursfrei,-,Sperrtermin,Keinen Kurs einplanen
2027-12-04,2027-12-05,Sport & Hypnose,II,Kurs,Zweitägiger Kurs
2027-12-11,2027-12-11,Examen Final,Jahresabschluss,Prüfung,Einmaliger finaler Prüfungstermin im Jahr
2027-12-13,2027-12-14,Kursfrei,-,Sperrtermin,Keinen Kurs einplanen
,,Maître Praticien II,II,Planung offen,15 Ausbildungstage als Mehrwochenend-Zyklus; finale Struktur noch festlegen
2027-12-27,2028-01-02,Weihnachtspause,-,Pause,Mindestens eine Woche nach Weihnachten
